   99 1.053	 0.800	 0.898	 1.219	 0.382	 1.159	 0.847	 0.249	 0.525	 0.495	 1.053	 0.139	 0.000	
  100 1.130	 0.524	 1.003	 1.095	 0.903	 0.970	 3.936	 3.495	 0.818	 0.364	 0.425	 0.386	 0.000	
  101 1.130	 0.524	 1.003	 1.095	 0.903	 0.970	 3.936	 3.495	 0.818	 0.364	 0.425	 0.386	 0.000	
  102 1.130	 0.524	 1.003	 1.095	 0.903	 0.970	 3.936	 3.495	 0.818	 0.364	 0.425	 0.386	 0.000	
  103 1.130	 0.524	 1.003	 1.095	 0.903	 0.970	 3.936	 3.495	 0.818	 0.364	 0.425	 0.386	 0.000	
  104 1.130	 0.524	 1.003	 1.095	 0.903	 0.970	 3.936	 3.495	 0.818	 0.364	 0.425	 0.386	 0.000	
  105 1.130	 0.524	 1.003	 1.095	 0.903	 0.970	 3.936	 3.495	 0.818	 0.364	 0.425	 0.386	 0.000	
  106 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  107 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  108 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  109 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  110 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  111 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  112 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  113 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  114 1.157	 1.090	 0.715	 0.988	 0.795	 0.961	 1.854	 2.329	 0.681	 0.679	 0.237	 0.400	 0.000	
  115 1.143	 1.149	 0.901	 0.920	 0.663	 1.108	 1.215	 1.128	 0.586	 0.589	 0.287	 0.453	 0.000	
  116 0.901	 0.993	 0.930	 0.791	 0.730	 1.078	 1.687	 0.316	 0.548	 0.595	 0.481	 0.655	 0.000	
  117 0.967	 0.755	 1.043	 0.643	 0.859	 0.991	 0.145	 3.378	 0.633	 0.618	 0.489	 0.557	 0.000	
  118 0.967	 0.755	 1.043	 0.643	 0.859	 0.991	 0.145	 3.378	 0.633	 0.618	 0.489	 0.557	 0.000	
  119 1.071	 0.508	 1.220	 0.802	 0.727	 0.693	 0.308	 1.014	 0.489	 0.424	 0.605	 0.564	 0.000	
  120 1.071	 0.508	 1.220	 0.802	 0.727	 0.693	 0.308	 1.014	 0.489	 0.424	 0.605	 0.564	 0.000	
  121 1.071	 0.508	 1.220	 0.802	 0.727	 0.693	 0.308	 1.014	 0.489	 0.424	 0.605	 0.564	 0.000	
  122 1.071	 0.508	 1.220	 0.802	 0.727	 0.693	 0.308	 1.014	 0.489	 0.424	 0.605	 0.564	 0.000	
  123 0.737	 0.715	 0.870	 0.705	 0.982	 1.279	 1.476	 2.659	 0.566	 0.582	 0.731	 0.633	 0.000	
