  416	  8319.586   8319.586
  417	  8319.586   8319.586
  418	  8319.765   8319.765
  419	  8319.765   8319.765
  420	  8319.777   8319.777
  421	  8319.793   8319.793
  422	  8319.793   8319.793
  423	  8319.803   8319.803
  424	  8319.803   8319.803
  425	  8319.853   8319.853
  426	  8319.895   8319.895
  427	  8319.934   8319.934
  428	  8319.934   8319.934
  429	  8319.934   8319.934
  430	  8319.944   8319.944
  431	  8320.042   8320.042
  432	  8320.042   8320.042
  433	  8320.070   8320.070
  434	  8320.070   8320.070
  435	  8320.105   8320.105
  436	  8320.105   8320.105
  437	  8320.109   8320.109
  438	  8320.202   8320.202
  439	  8320.217   8320.217
  440	  8320.217   8320.217
  441	  8320.217   8320.217
  442	  8320.277   8320.277
  443	  8320.290   8320.290
  444	  8320.319   8320.319
  445	  8320.319   8320.319
  446	  8320.347   8320.347
  447	  8320.359   8320.359
  448	  8320.359   8320.359
  449	  8320.361   8320.361
  450	  8320.361   8320.361
  451	  8320.402   8320.402
  452	  8320.440   8320.440
  453	  8320.446   8320.446
  454	  8320.446   8320.446
  455	  8320.493   8320.493
  456	  8320.493   8320.493
  457	  8320.677   8320.677
  458	  8320.677   8320.677
  459	  8320.677   8320.677
  460	  8320.772   8320.772
  461	  8320.799   8320.799
  462	  8321.004   8321.004
  463	  8321.135   8321.135
  464	  8321.135   8321.135
  465	  8321.135   8321.135
  466	  8321.135   8321.135
  467	  8321.297   8321.297
  468	  8321.411   8321.411
  469	  8321.636   8321.636
  470	  8321.636   8321.636
  471	  8321.636   8321.636
  472	  8321.636   8321.636
  473	  8321.636   8321.636
  474	  8322.435   8322.435
  475	  8325.338   8325.338
  476	  8326.143   8326.143
  477	  8328.314   8328.314
  478	  8328.314   8328.314
  479	  8328.314   8328.314
  480	  8328.861   8328.861
  481	  8333.861   8333.861
  482	  8333.861   8333.861
  483	  8337.612   8337.612
  484	  8340.024   8340.024
  485	  8340.024   8340.024
  486	  8342.916   8342.916
  487	  8346.841   8346.841
  488	  8346.841   8346.841
  489	  8346.841   8346.841
  490	  8349.526   8349.526
  491	  8351.584   8351.584
  492	  8351.584   8351.584
  493	  8367.437   8367.437
  494	  8368.036   8368.036
  495	  8368.036   8368.036
  496	  8402.773   8402.773
  497	  8416.485   8416.485
  498	  8466.618   8466.618
  499	  8470.190   8470.190
  500	  8470.846   8470.846
